date,team,venue_team,opponent,rest_days_Le-Havre
2024-08-17,Le-Havre,Away,Brest,0
2024-08-25,Le-Havre,Home,Reims,8
2024-08-31,Le-Havre,Away,Toulouse,6
2024-09-14,Le-Havre,Home,Nice,14
2024-09-22,Le-Havre,Away,Lyon,8
2024-09-29,Le-Havre,Away,Strasbourg,7
2024-10-04,Le-Havre,Home,Angers,5
2024-10-20,Le-Havre,Away,Montpellier,16
2024-10-27,Le-Havre,Home,Paris S-G,7
2024-11-03,Le-Havre,Away,Nantes,7
2024-11-08,Le-Havre,Home,Auxerre,5
2024-11-23,Le-Havre,Away,Lens,15
2024-12-01,Le-Havre,Home,Monaco,8
2024-12-08,Le-Havre,Away,Saint-Étienne,7
2024-12-14,Le-Havre,Home,Lille,6
2024-12-22,Le-Havre,Away,Saint-Étienne,8
2025-01-05,Le-Havre,Home,Le Havre,14
2025-01-11,Le-Havre,Away,Rennes,6
2025-01-14,Le-Havre,Home,Lille,3
2025-01-19,Le-Havre,Home,Strasbourg,5
2025-01-26,Le-Havre,Away,Nice,7
2025-02-02,Le-Havre,Home,Lyon,7
2025-02-09,Le-Havre,Away,Angers,7
2025-02-15,Le-Havre,Home,Saint-Étienne,6
2025-02-22,Le-Havre,Away,Auxerre,7
2025-03-02,Le-Havre,Home,Nantes,8
2025-03-08,Le-Havre,Home,Lens,6
2025-03-16,Le-Havre,Away,Paris S-G,8
2025-03-29,Le-Havre,Away,Reims,13
2025-04-06,Le-Havre,Home,Toulouse,8
2025-04-12,Le-Havre,Away,Monaco,6
2025-04-19,Le-Havre,Home,Montpellier,7
2025-04-27,Le-Havre,Home,Brest,8
2025-05-04,Le-Havre,Away,Lille,7
2025-05-10,Le-Havre,Away,Le Havre,6
2025-05-17,Le-Havre,Home,Rennes,7
