date,team,venue_team,opponent,rest_days_Lille
2024-08-17,Lille,Away,Brest,0
2024-08-25,Lille,Home,Reims,8
2024-08-31,Lille,Away,Toulouse,6
2024-09-14,Lille,Home,Nice,14
2024-09-22,Lille,Away,Lyon,8
2024-09-29,Lille,Away,Strasbourg,7
2024-10-04,Lille,Home,Angers,5
2024-10-20,Lille,Away,Montpellier,16
2024-10-27,Lille,Home,Paris S-G,7
2024-11-03,Lille,Away,Nantes,7
2024-11-08,Lille,Home,Auxerre,5
2024-11-23,Lille,Away,Lens,15
2024-12-01,Lille,Home,Monaco,8
2024-12-08,Lille,Away,Saint-Étienne,7
2024-12-14,Lille,Home,Lille,6
2024-12-22,Lille,Away,Saint-Étienne,8
2025-01-05,Lille,Home,Le Havre,14
2025-01-11,Lille,Away,Rennes,6
2025-01-14,Lille,Home,Lille,3
2025-01-19,Lille,Home,Strasbourg,5
2025-01-26,Lille,Away,Nice,7
2025-02-02,Lille,Home,Lyon,7
2025-02-09,Lille,Away,Angers,7
2025-02-15,Lille,Home,Saint-Étienne,6
2025-02-22,Lille,Away,Auxerre,7
2025-03-02,Lille,Home,Nantes,8
2025-03-08,Lille,Home,Lens,6
2025-03-16,Lille,Away,Paris S-G,8
2025-03-29,Lille,Away,Reims,13
2025-04-06,Lille,Home,Toulouse,8
2025-04-12,Lille,Away,Monaco,6
2025-04-19,Lille,Home,Montpellier,7
2025-04-27,Lille,Home,Brest,8
2025-05-04,Lille,Away,Lille,7
2025-05-10,Lille,Away,Le Havre,6
2025-05-17,Lille,Home,Rennes,7
