date,team,venue_team,opponent,rest_days_team
2024-08-17,Monaco,Home,St Etienne,0
2024-08-24,Monaco,Away,Lyon,7
2024-09-01,Monaco,Home,Lens,8
2024-09-14,Monaco,Away,Auxerre,13
2024-09-19,Monaco,Home,es Barcelona,5
2024-09-22,Monaco,Home,Le Havre,3
2024-09-28,Monaco,Home,Montpellier,6
2024-10-02,Monaco,Away,hr Dinamo Zagreb,4
2024-10-05,Monaco,Away,Rennes,3
2024-10-18,Monaco,Home,Lille,13
2024-10-22,Monaco,Home,rs Red Star,4
2024-10-27,Monaco,Away,Nice,5
2024-11-01,Monaco,Home,Angers,5
2024-11-05,Monaco,Away,it Bologna,4
2024-11-09,Monaco,Away,Strasbourg,4
2024-11-22,Monaco,Home,Brest,13
2024-11-27,Monaco,Home,pt Benfica,5
2024-12-01,Monaco,Away,Marseille,4
2024-12-07,Monaco,Home,Toulouse,6
2024-12-11,Monaco,Away,eng Arsenal,4
2024-12-14,Monaco,Away,Reims,3
2024-12-18,Monaco,Home,Paris SG,4
2024-12-22,Monaco,Away,L'Union,4
2025-01-05,Monaco,Neutral,Paris SG,14
2025-01-10,Monaco,Away,Nantes,5
2025-01-14,Monaco,Away,Reims,4
2025-01-17,Monaco,Away,Montpellier,3
2025-01-21,Monaco,Home,eng Aston Villa,4
2025-01-25,Monaco,Home,Rennes,4
2025-01-29,Monaco,Away,it Inter,4
2025-02-01,Monaco,Home,Auxerre,3
2025-02-07,Monaco,Away,Paris SG,6
2025-02-12,Monaco,Home,pt Benfica,5
2025-02-15,Monaco,Home,Nantes,3
2025-02-18,Monaco,Away,pt Benfica,3
2025-02-22,Monaco,Away,Lille,4
2025-02-28,Monaco,Home,Reims,6
2025-03-07,Monaco,Away,Toulouse,7
2025-03-15,Monaco,Away,Angers,8
2025-03-29,Monaco,Home,Nice,14
2025-04-05,Monaco,Away,Brest,7
2025-04-12,Monaco,Home,Marseille,7
2025-04-19,Monaco,Home,Strasbourg,7
2025-04-26,Monaco,Away,Le Havre,7
2025-05-03,Monaco,Away,St Etienne,7
2025-05-10,Monaco,Home,Lyon,7
2025-05-17,Monaco,Away,Lens,7
