date,team,venue_team,opponent,rest_days_Montpellier
2024-08-17,Montpellier,Away,Brest,0
2024-08-25,Montpellier,Home,Reims,8
2024-08-31,Montpellier,Away,Toulouse,6
2024-09-14,Montpellier,Home,Nice,14
2024-09-22,Montpellier,Away,Lyon,8
2024-09-29,Montpellier,Away,Strasbourg,7
2024-10-04,Montpellier,Home,Angers,5
2024-10-20,Montpellier,Away,Montpellier,16
2024-10-27,Montpellier,Home,Paris S-G,7
2024-11-03,Montpellier,Away,Nantes,7
2024-11-08,Montpellier,Home,Auxerre,5
2024-11-23,Montpellier,Away,Lens,15
2024-12-01,Montpellier,Home,Monaco,8
2024-12-08,Montpellier,Away,Saint-Étienne,7
2024-12-14,Montpellier,Home,Lille,6
2024-12-22,Montpellier,Away,Saint-Étienne,8
2025-01-05,Montpellier,Home,Le Havre,14
2025-01-11,Montpellier,Away,Rennes,6
2025-01-14,Montpellier,Home,Lille,3
2025-01-19,Montpellier,Home,Strasbourg,5
2025-01-26,Montpellier,Away,Nice,7
2025-02-02,Montpellier,Home,Lyon,7
2025-02-09,Montpellier,Away,Angers,7
2025-02-15,Montpellier,Home,Saint-Étienne,6
2025-02-22,Montpellier,Away,Auxerre,7
2025-03-02,Montpellier,Home,Nantes,8
2025-03-08,Montpellier,Home,Lens,6
2025-03-16,Montpellier,Away,Paris S-G,8
2025-03-29,Montpellier,Away,Reims,13
2025-04-06,Montpellier,Home,Toulouse,8
2025-04-12,Montpellier,Away,Monaco,6
2025-04-19,Montpellier,Home,Montpellier,7
2025-04-27,Montpellier,Home,Brest,8
2025-05-04,Montpellier,Away,Lille,7
2025-05-10,Montpellier,Away,Le Havre,6
2025-05-17,Montpellier,Home,Rennes,7
