date,team,venue_team,opponent,rest_days_Nantes
2024-08-17,Nantes,Away,Brest,0
2024-08-25,Nantes,Home,Reims,8
2024-08-31,Nantes,Away,Toulouse,6
2024-09-14,Nantes,Home,Nice,14
2024-09-22,Nantes,Away,Lyon,8
2024-09-29,Nantes,Away,Strasbourg,7
2024-10-04,Nantes,Home,Angers,5
2024-10-20,Nantes,Away,Montpellier,16
2024-10-27,Nantes,Home,Paris S-G,7
2024-11-03,Nantes,Away,Nantes,7
2024-11-08,Nantes,Home,Auxerre,5
2024-11-23,Nantes,Away,Lens,15
2024-12-01,Nantes,Home,Monaco,8
2024-12-08,Nantes,Away,Saint-Étienne,7
2024-12-14,Nantes,Home,Lille,6
2024-12-22,Nantes,Away,Saint-Étienne,8
2025-01-05,Nantes,Home,Le Havre,14
2025-01-11,Nantes,Away,Rennes,6
2025-01-14,Nantes,Home,Lille,3
2025-01-19,Nantes,Home,Strasbourg,5
2025-01-26,Nantes,Away,Nice,7
2025-02-02,Nantes,Home,Lyon,7
2025-02-09,Nantes,Away,Angers,7
2025-02-15,Nantes,Home,Saint-Étienne,6
2025-02-22,Nantes,Away,Auxerre,7
2025-03-02,Nantes,Home,Nantes,8
2025-03-08,Nantes,Home,Lens,6
2025-03-16,Nantes,Away,Paris S-G,8
2025-03-29,Nantes,Away,Reims,13
2025-04-06,Nantes,Home,Toulouse,8
2025-04-12,Nantes,Away,Monaco,6
2025-04-19,Nantes,Home,Montpellier,7
2025-04-27,Nantes,Home,Brest,8
2025-05-04,Nantes,Away,Lille,7
2025-05-10,Nantes,Away,Le Havre,6
2025-05-17,Nantes,Home,Rennes,7
