date,team,venue_team,opponent,rest_days_team
2024-08-16,Paris SG,Away,Le Havre,0
2024-08-23,Paris SG,Home,Montpellier,7
2024-09-01,Paris SG,Away,Lille,9
2024-09-14,Paris SG,Home,Brest,13
2024-09-18,Paris SG,Home,es Girona,4
2024-09-21,Paris SG,Away,Reims,3
2024-09-27,Paris SG,Home,Rennes,6
2024-10-01,Paris SG,Away,eng Arsenal,4
2024-10-06,Paris SG,Away,Nice,5
2024-10-19,Paris SG,Home,Strasbourg,13
2024-10-22,Paris SG,Home,nl PSV Eindhoven,3
2024-10-27,Paris SG,Away,Marseille,5
2024-11-02,Paris SG,Home,Lens,6
2024-11-06,Paris SG,Home,es Atlético Madrid,4
2024-11-09,Paris SG,Away,Angers,3
2024-11-22,Paris SG,Home,Toulouse,13
2024-11-26,Paris SG,Away,de Bayern Munich,4
2024-11-30,Paris SG,Home,Nantes,4
2024-12-06,Paris SG,Away,Auxerre,6
2024-12-10,Paris SG,Away,at RB Salzburg,4
2024-12-15,Paris SG,Home,Lyon,5
2024-12-18,Paris SG,Away,Monaco,3
2024-12-22,Paris SG,Away,Lens,4
2025-01-05,Paris SG,Neutral,Monaco,14
2025-01-12,Paris SG,Home,St Etienne,7
2025-01-15,Paris SG,Away,FC Espaly,3
2025-01-18,Paris SG,Away,Lens,3
2025-01-22,Paris SG,Home,eng Manchester City,4
2025-01-25,Paris SG,Home,Reims,3
2025-01-29,Paris SG,Away,de Stuttgart,4
2025-02-01,Paris SG,Away,Brest,3
2025-02-04,Paris SG,Away,Le Mans,3
2025-02-07,Paris SG,Home,Monaco,3
2025-02-11,Paris SG,Away,Brest,4
2025-02-15,Paris SG,Away,Toulouse,4
2025-02-19,Paris SG,Home,Brest,4
2025-02-23,Paris SG,Away,Lyon,4
2025-02-26,Paris SG,Away,Stade Briochin,3
2025-03-01,Paris SG,Home,Lille,3
2025-03-05,Paris SG,Home,eng Liverpool,4
2025-03-08,Paris SG,Away,Rennes,3
2025-03-11,Paris SG,Away,eng Liverpool,3
2025-03-16,Paris SG,Home,Marseille,5
2025-03-29,Paris SG,Away,St Etienne,13
2025-04-01,Paris SG,Away,Dunkerque,3
2025-04-05,Paris SG,Home,Angers,4
2025-04-09,Paris SG,Home,eng Aston Villa,4
2025-04-15,Paris SG,Away,eng Aston Villa,6
2025-04-19,Paris SG,Home,Le Havre,4
2025-04-22,Paris SG,Away,Nantes,3
2025-04-25,Paris SG,Home,Nice,3
2025-04-29,Paris SG,Away,eng Arsenal,4
2025-05-03,Paris SG,Away,Strasbourg,4
2025-05-07,Paris SG,Home,eng Arsenal,4
2025-05-10,Paris SG,Away,Montpellier,3
2025-05-17,Paris SG,Home,Auxerre,7
2025-05-24,Paris SG,Neutral,Reims,7
2025-05-31,Paris SG,Neutral,it Inter,7
