date,team,venue_team,opponent,rest_days_Paris-Saint-Germain
2024-08-16,Paris-Saint-Germain,Away,Le Havre,0
2024-08-23,Paris-Saint-Germain,Home,Montpellier,7
2024-09-01,Paris-Saint-Germain,Away,Lille,9
2024-09-14,Paris-Saint-Germain,Home,Brest,13
2024-09-18,Paris-Saint-Germain,Home,es Girona,4
2024-09-21,Paris-Saint-Germain,Away,Reims,3
2024-09-27,Paris-Saint-Germain,Home,Rennes,6
2024-10-01,Paris-Saint-Germain,Away,eng Arsenal,4
2024-10-06,Paris-Saint-Germain,Away,Nice,5
2024-10-19,Paris-Saint-Germain,Home,Strasbourg,13
2024-10-22,Paris-Saint-Germain,Home,nl PSV Eindhoven,3
2024-10-27,Paris-Saint-Germain,Away,Marseille,5
2024-11-02,Paris-Saint-Germain,Home,Lens,6
2024-11-06,Paris-Saint-Germain,Home,es Atlético Madrid,4
2024-11-09,Paris-Saint-Germain,Away,Angers,3
2024-11-22,Paris-Saint-Germain,Home,Toulouse,13
2024-11-26,Paris-Saint-Germain,Away,de Bayern Munich,4
2024-11-30,Paris-Saint-Germain,Home,Nantes,4
2024-12-06,Paris-Saint-Germain,Away,Auxerre,6
2024-12-10,Paris-Saint-Germain,Away,at RB Salzburg,4
2024-12-15,Paris-Saint-Germain,Home,Lyon,5
2024-12-18,Paris-Saint-Germain,Away,Monaco,3
2024-12-22,Paris-Saint-Germain,Away,Lens,4
2025-01-05,Paris-Saint-Germain,Neutral,Monaco,14
2025-01-12,Paris-Saint-Germain,Home,Saint-Étienne,7
2025-01-15,Paris-Saint-Germain,Away,FC Espaly,3
2025-01-18,Paris-Saint-Germain,Away,Lens,3
2025-01-22,Paris-Saint-Germain,Home,eng Manchester City,4
2025-01-25,Paris-Saint-Germain,Home,Reims,3
2025-01-29,Paris-Saint-Germain,Away,de Stuttgart,4
2025-02-01,Paris-Saint-Germain,Away,Brest,3
2025-02-04,Paris-Saint-Germain,Away,Le Mans,3
2025-02-07,Paris-Saint-Germain,Home,Monaco,3
2025-02-11,Paris-Saint-Germain,Away,fr Brest,4
2025-02-15,Paris-Saint-Germain,Away,Toulouse,4
2025-02-19,Paris-Saint-Germain,Home,fr Brest,4
2025-02-23,Paris-Saint-Germain,Away,Lyon,4
2025-02-26,Paris-Saint-Germain,Away,Stade Briochin,3
2025-03-01,Paris-Saint-Germain,Home,Lille,3
2025-03-05,Paris-Saint-Germain,Home,eng Liverpool,4
2025-03-08,Paris-Saint-Germain,Away,Rennes,3
2025-03-11,Paris-Saint-Germain,Away,eng Liverpool,3
2025-03-16,Paris-Saint-Germain,Home,Marseille,5
2025-03-29,Paris-Saint-Germain,Away,Saint-Étienne,13
2025-04-01,Paris-Saint-Germain,Away,Dunkerque,3
2025-04-05,Paris-Saint-Germain,Home,Angers,4
2025-04-09,Paris-Saint-Germain,Home,eng Aston Villa,4
2025-04-15,Paris-Saint-Germain,Away,eng Aston Villa,6
2025-04-19,Paris-Saint-Germain,Home,Le Havre,4
2025-04-22,Paris-Saint-Germain,Away,Nantes,3
2025-04-25,Paris-Saint-Germain,Home,Nice,3
2025-04-29,Paris-Saint-Germain,Away,eng Arsenal,4
2025-05-03,Paris-Saint-Germain,Away,Strasbourg,4
2025-05-07,Paris-Saint-Germain,Home,eng Arsenal,4
2025-05-10,Paris-Saint-Germain,Away,Montpellier,3
2025-05-17,Paris-Saint-Germain,Home,Auxerre,7
2025-05-24,Paris-Saint-Germain,Neutral,Reims,7
2025-05-31,Paris-Saint-Germain,Neutral,it Inter,7
