date,team,venue_team,opponent,rest_days_Rennes
2024-08-17,Rennes,Away,Brest,0
2024-08-25,Rennes,Home,Reims,8
2024-08-31,Rennes,Away,Toulouse,6
2024-09-14,Rennes,Home,Nice,14
2024-09-22,Rennes,Away,Lyon,8
2024-09-29,Rennes,Away,Strasbourg,7
2024-10-04,Rennes,Home,Angers,5
2024-10-20,Rennes,Away,Montpellier,16
2024-10-27,Rennes,Home,Paris S-G,7
2024-11-03,Rennes,Away,Nantes,7
2024-11-08,Rennes,Home,Auxerre,5
2024-11-23,Rennes,Away,Lens,15
2024-12-01,Rennes,Home,Monaco,8
2024-12-08,Rennes,Away,Saint-Étienne,7
2024-12-14,Rennes,Home,Lille,6
2024-12-22,Rennes,Away,Saint-Étienne,8
2025-01-05,Rennes,Home,Le Havre,14
2025-01-11,Rennes,Away,Rennes,6
2025-01-14,Rennes,Home,Lille,3
2025-01-19,Rennes,Home,Strasbourg,5
2025-01-26,Rennes,Away,Nice,7
2025-02-02,Rennes,Home,Lyon,7
2025-02-09,Rennes,Away,Angers,7
2025-02-15,Rennes,Home,Saint-Étienne,6
2025-02-22,Rennes,Away,Auxerre,7
2025-03-02,Rennes,Home,Nantes,8
2025-03-08,Rennes,Home,Lens,6
2025-03-16,Rennes,Away,Paris S-G,8
2025-03-29,Rennes,Away,Reims,13
2025-04-06,Rennes,Home,Toulouse,8
2025-04-12,Rennes,Away,Monaco,6
2025-04-19,Rennes,Home,Montpellier,7
2025-04-27,Rennes,Home,Brest,8
2025-05-04,Rennes,Away,Lille,7
2025-05-10,Rennes,Away,Le Havre,6
2025-05-17,Rennes,Home,Rennes,7
