date,team,venue_team,opponent,rest_days_team
2024-08-17,St Etienne,Away,Monaco,0
2024-08-24,St Etienne,Home,Le Havre,7
2024-08-31,St Etienne,Away,Brest,7
2024-09-13,St Etienne,Home,Lille,13
2024-09-20,St Etienne,Away,Nice,7
2024-09-29,St Etienne,Away,Nantes,9
2024-10-05,St Etienne,Home,Auxerre,6
2024-10-19,St Etienne,Home,Lens,14
2024-10-26,St Etienne,Away,Angers,7
2024-11-02,St Etienne,Home,Strasbourg,7
2024-11-10,St Etienne,Away,Lyon,8
2024-11-23,St Etienne,Home,Montpellier,13
2024-11-30,St Etienne,Away,Rennes,7
2024-12-08,St Etienne,Home,Marseille,8
2024-12-13,St Etienne,Away,Toulouse,5
2024-12-22,St Etienne,Home,Marseille,9
2025-01-04,St Etienne,Home,Reims,13
2025-01-12,St Etienne,Away,Paris SG,8
2025-01-19,St Etienne,Home,Nantes,7
2025-01-24,St Etienne,Away,Auxerre,5
2025-02-01,St Etienne,Away,Lille,8
2025-02-08,St Etienne,Home,Rennes,7
2025-02-15,St Etienne,Away,Marseille,7
2025-02-22,St Etienne,Home,Angers,7
2025-03-01,St Etienne,Home,Nice,7
2025-03-09,St Etienne,Away,Le Havre,8
2025-03-16,St Etienne,Away,Montpellier,7
2025-03-29,St Etienne,Home,Paris SG,13
2025-04-06,St Etienne,Away,Lens,8
2025-04-13,St Etienne,Home,Brest,7
2025-04-20,St Etienne,Home,Lyon,7
2025-04-26,St Etienne,Away,Strasbourg,6
2025-05-03,St Etienne,Home,Monaco,7
2025-05-10,St Etienne,Away,Reims,7
2025-05-17,St Etienne,Home,Toulouse,7
