date,team,venue_team,opponent,rest_days_Strasbourg
2024-08-17,Strasbourg,Away,Brest,0
2024-08-25,Strasbourg,Home,Reims,8
2024-08-31,Strasbourg,Away,Toulouse,6
2024-09-14,Strasbourg,Home,Nice,14
2024-09-22,Strasbourg,Away,Lyon,8
2024-09-29,Strasbourg,Away,Strasbourg,7
2024-10-04,Strasbourg,Home,Angers,5
2024-10-20,Strasbourg,Away,Montpellier,16
2024-10-27,Strasbourg,Home,Paris S-G,7
2024-11-03,Strasbourg,Away,Nantes,7
2024-11-08,Strasbourg,Home,Auxerre,5
2024-11-23,Strasbourg,Away,Lens,15
2024-12-01,Strasbourg,Home,Monaco,8
2024-12-08,Strasbourg,Away,Saint-Étienne,7
2024-12-14,Strasbourg,Home,Lille,6
2024-12-22,Strasbourg,Away,Saint-Étienne,8
2025-01-05,Strasbourg,Home,Le Havre,14
2025-01-11,Strasbourg,Away,Rennes,6
2025-01-14,Strasbourg,Home,Lille,3
2025-01-19,Strasbourg,Home,Strasbourg,5
2025-01-26,Strasbourg,Away,Nice,7
2025-02-02,Strasbourg,Home,Lyon,7
2025-02-09,Strasbourg,Away,Angers,7
2025-02-15,Strasbourg,Home,Saint-Étienne,6
2025-02-22,Strasbourg,Away,Auxerre,7
2025-03-02,Strasbourg,Home,Nantes,8
2025-03-08,Strasbourg,Home,Lens,6
2025-03-16,Strasbourg,Away,Paris S-G,8
2025-03-29,Strasbourg,Away,Reims,13
2025-04-06,Strasbourg,Home,Toulouse,8
2025-04-12,Strasbourg,Away,Monaco,6
2025-04-19,Strasbourg,Home,Montpellier,7
2025-04-27,Strasbourg,Home,Brest,8
2025-05-04,Strasbourg,Away,Lille,7
2025-05-10,Strasbourg,Away,Le Havre,6
2025-05-17,Strasbourg,Home,Rennes,7
